TreatmentID	#overlap	#sample	#True	#all	pvalue	-log10.pvalue	Ratio	q value	-log10.qvalue
BRD-K59184148_SB 216763_HA1E_6.0_h_10.0_um	2	18	21	8706	9.64439E-06	5.015725362	0.095238095	0.005909099	2.228478704
BRD-K74501079_azithromycin_VCAP_6.0_h_10.0_um	2	18	21	8706	9.64439E-06	5.015725362	0.095238095	0.005909099	2.228478704
BRD-K21680192_mitoxantrone_HCC515_24_h_1.11_um	5	221	21	8706	9.8596E-06	5.006140505	0.238095238	0.005909099	2.228478704
BRD-A08003242_RHODOMYRTOXIN B_A549_6.0_h_10.0_um	4	126	21	8706	9.90983E-06	5.003933619	0.19047619	0.005909099	2.228478704
BRD-K30697463_desoximetasone_HCC515_6.0_h_10.0_um	3	59	21	8706	1.04482E-05	4.980958394	0.142857143	0.00599928	2.221900846
BRD-K89224880_-666_PC3_24.0_h_10.0_um	3	59	21	8706	1.04482E-05	4.980958394	0.142857143	0.00599928	2.221900846
BRD-A25088322_-666_PC3_6.0_h_10.0_um	3	60	21	8706	1.1177E-05	4.951675548	0.142857143	0.006066336	2.217073567
BRD-K92317137_-666_A375_6.0_h_10.0_um	5	226	21	8706	1.12088E-05	4.950440132	0.238095238	0.006066336	2.217073567
BRD-A44448661_PENTOBARBITAL_MCF7_6.0_h_10.0_um	2	19	21	8706	1.14349E-05	4.941765816	0.095238095	0.006066336	2.217073567
BRD-K22134346_SIMVASTATIN_HEPG2_6.0_h_10.0_um	2	19	21	8706	1.14349E-05	4.941765816	0.095238095	0.006066336	2.217073567
BRD-K15025317_Bay 11-7821_U937_6.0_h_10.0_um	4	130	21	8706	1.15434E-05	4.937665087	0.19047619	0.006066336	2.217073567
BRD-K26104851_Nifuroxazide_MCF7_24.0_h_10.0_um	3	61	21	8706	1.19426E-05	4.922900965	0.142857143	0.006070764	2.21675665
BRD-K44366801_NCGC00182371-01_VCAP_24.0_h_10.0_um	3	61	21	8706	1.19426E-05	4.922900965	0.142857143	0.006070764	2.21675665
BRD-A67788537_Salermide_NCIH596_6.0_h_120.0_um	4	132	21	8706	1.24355E-05	4.905335127	0.19047619	0.006175238	2.209346314
BRD-K53461563_-666_MCF7_6.0_h_10.0_um	3	62	21	8706	1.27462E-05	4.894617685	0.142857143	0.006175238	2.209346314
BRD-K53987746_methyl 1-(2,4-difluorophenyl)-5-{2-[(methylamino)carbothioyl]carbohydrazonoyl}-1H-pyrazole-4-carboxylate_HA1E_24.0_h_10.0_um	3	62	21	8706	1.27462E-05	4.894617685	0.142857143	0.006175238	2.209346314
BRD-K78867378_mw-A1-12_PL21_6.0_h_10.0_um	4	134	21	8706	1.33808E-05	4.873519508	0.19047619	0.006196384	2.207861662
BRD-A94669766_Naringenine_PC3_24.0_h_10.0_um	2	20	21	8706	1.3432E-05	4.871858807	0.095238095	0.006196384	2.207861662
BRD-K72414522_AZD-5438_MCF10A_3_h_1.11_um	3	63	21	8706	1.35891E-05	4.866809582	0.142857143	0.006196384	2.207861662
BRD-K80431395_TRICIRIBINE_MCF7_6.0_h_10.0_um	3	63	21	8706	1.35891E-05	4.866809582	0.142857143	0.006196384	2.207861662
BRD-K74402642_Chemistry 2804_OV7_6.0_h_10.0_um	4	135	21	8706	1.3874E-05	4.857799714	0.19047619	0.006232407	2.205344193
BRD-A33833419_-666_A375_6.0_h_10.0_um	3	64	21	8706	1.44723E-05	4.839461312	0.142857143	0.006232407	2.205344193
BRD-K40255344_EI-215_A375_6.0_h_10.0_um	3	64	21	8706	1.44723E-05	4.839461312	0.142857143	0.006232407	2.205344193
BRD-K91601245_mercaptopurine_PC3_24.0_h_10.0_um	3	64	21	8706	1.44723E-05	4.839461312	0.142857143	0.006232407	2.205344193
BRD-A30435184_Metergoline_HT29_24.0_h_10.0_um	3	65	21	8706	1.53972E-05	4.812558264	0.142857143	0.006330463	2.198564505
BRD-K02265150_AMOXAPINE_HA1E_6.0_h_10.0_um	3	65	21	8706	1.53972E-05	4.812558264	0.142857143	0.006330463	2.198564505
BRD-U33728988_-666_HEPG2_6.0_h_10.0_um	3	65	21	8706	1.53972E-05	4.812558264	0.142857143	0.006330463	2.198564505
BRD-A45498368_WYE-125132_HME1_24_h_0.04_um	3	66	21	8706	1.63649E-05	4.786086511	0.142857143	0.006330463	2.198564505
BRD-K99252563_QL-XII-47_SKBR3_3_h_0.37_um	3	66	21	8706	1.63649E-05	4.786086511	0.142857143	0.006330463	2.198564505
BRD-K18190982_COT-10b_HEPG2_6.0_h_44.4_um	4	140	21	8706	1.65574E-05	4.781007387	0.19047619	0.006330463	2.198564505
BRD-K14109347_LY2603618_A549_24_h_1.11_um	1	3	21	8706	1.66016E-05	4.779849369	0.047619048	0.006330463	2.198564505
BRD-K68407802_KIN001-055_A549_24_h_1.11_um	1	3	21	8706	1.66016E-05	4.779849369	0.047619048	0.006330463	2.198564505
BRD-K92317137_-666_NCIH1694_6.0_h_10.0_um	4	141	21	8706	1.71397E-05	4.765998014	0.19047619	0.006330463	2.198564505
BRD-A75478957_PD 166793_HA1E_24.0_h_10.0_um	3	67	21	8706	1.73767E-05	4.76003277	0.142857143	0.006330463	2.198564505
BRD-K68065987_MK-2206_HEPG2_24_h_10_um	3	67	21	8706	1.73767E-05	4.76003277	0.142857143	0.006330463	2.198564505
BRD-K81651477_Parthenolide_A375_6.0_h_20.0_um	3	67	21	8706	1.73767E-05	4.76003277	0.142857143	0.006330463	2.198564505
BRD-K03816923_Rottlerin_A549_6.0_h_9.68_um	4	142	21	8706	1.77378E-05	4.751101104	0.19047619	0.006330463	2.198564505
BRD-K06792661_Narciclasine_A673_6.0_h_10.0_um	4	142	21	8706	1.77378E-05	4.751101104	0.19047619	0.006330463	2.198564505
BRD-K17008822_-666_MCF7_6.0_h_10.0_um	2	22	21	8706	1.80888E-05	4.74259104	0.095238095	0.006330463	2.198564505
BRD-K01896723_2-morpholino-N-((5-nitro-1H-benzo[d]imidazol-2-yl)methyl)-9-(thiophen-3-yl)-9H-purin-6-amine_A375_6.0_h_10.0_um	3	68	21	8706	1.84338E-05	4.734384363	0.142857143	0.006330463	2.198564505
BRD-K08417745_SID 26681509_SKLU1_6.0_h_88.8_um	3	68	21	8706	1.84338E-05	4.734384363	0.142857143	0.006330463	2.198564505
BRD-K70511574_S1485_NPC_24.0_h_10.0_um	3	68	21	8706	1.84338E-05	4.734384363	0.142857143	0.006330463	2.198564505
BRD-A58955223_L-sulforophane_DV90_6.0_h_10.0_um	3	69	21	8706	1.95376E-05	4.709129179	0.142857143	0.006330463	2.198564505
BRD-K68065987_MK-2206_HS578T_24_h_3.33_um	3	69	21	8706	1.95376E-05	4.709129179	0.142857143	0.006330463	2.198564505
BRD-K78126613_MENADIONE_A673_6.0_h_10.0_um	3	69	21	8706	1.95376E-05	4.709129179	0.142857143	0.006330463	2.198564505
BRD-K21672174_Ro 28-1675 ?_MCF7_24.0_h_160.0_um	4	145	21	8706	1.96305E-05	4.707069302	0.19047619	0.006330463	2.198564505
BRD-K23984367_sorafenib_A549_24_h_10_um	4	146	21	8706	2.02952E-05	4.692606565	0.19047619	0.006330463	2.198564505
BRD-A15010982_10006350_MCF7_6.0_h_10.0_um	3	70	21	8706	2.06892E-05	4.684255645	0.142857143	0.006330463	2.198564505
BRD-K18163752_-666_PC3_6.0_h_10.0_um	3	70	21	8706	2.06892E-05	4.684255645	0.142857143	0.006330463	2.198564505
BRD-K28296557_Akt inhibitor IV_RMUGS_6.0_h_10.0_um	3	70	21	8706	2.06892E-05	4.684255645	0.142857143	0.006330463	2.198564505
BRD-K30707190_PNU 74654_MCF7_6.0_h_80.0_um	3	70	21	8706	2.06892E-05	4.684255645	0.142857143	0.006330463	2.198564505
BRD-K52397688_Amperozide_VCAP_6.0_h_10.0_um	2	23	21	8706	2.07698E-05	4.682567238	0.095238095	0.006330463	2.198564505
BRD-K66538826_amuvatinib_A549_24_h_10_um	2	23	21	8706	2.07698E-05	4.682567238	0.095238095	0.006330463	2.198564505
BRD-K76703230_YM-155_MDST8_6.0_h_0.31_um	4	148	21	8706	2.16773E-05	4.663994012	0.19047619	0.006330463	2.198564505
BRD-K05402890_17757146_THP1_6.0_h_0.35_um	3	71	21	8706	2.18901E-05	4.659752687	0.142857143	0.006330463	2.198564505
BRD-K17075857_Chloroxine_PC3_24.0_h_10.0_um	3	71	21	8706	2.18901E-05	4.659752687	0.142857143	0.006330463	2.198564505
BRD-K88198340_2-(6,6-dimethoxy-3-oxocyclohexa-1,4-dienylcarbamoyl)phenyl acetate GNFk-3_HT29_6.0_h_10.0_um	3	71	21	8706	2.18901E-05	4.659752687	0.142857143	0.006330463	2.198564505
BRD-K95309561_DIENESTROL_HCC515_6.0_h_10.0_um	3	71	21	8706	2.18901E-05	4.659752687	0.142857143	0.006330463	2.198564505
BRD-K87904882_chelerythrine chloride_PC3_24_h_10_um	4	150	21	8706	2.31319E-05	4.635789233	0.19047619	0.006330463	2.198564505
BRD-K03816923_-666_HEPG2_6.0_h_10.0_um	3	72	21	8706	2.31414E-05	4.635609712	0.142857143	0.006330463	2.198564505
BRD-K21680192_mitoxantrone_HME1_24_h_0.37_um	3	72	21	8706	2.31414E-05	4.635609712	0.142857143	0.006330463	2.198564505
BRD-K42191735_buparlisib_A375_24_h_1.11_um	3	72	21	8706	2.31414E-05	4.635609712	0.142857143	0.006330463	2.198564505
BRD-K71303366_-666_A549_24.0_h_10.0_um	3	72	21	8706	2.31414E-05	4.635609712	0.142857143	0.006330463	2.198564505
BRD-K16478699_PLX-4720_BT20_3_h_10_um	2	24	21	8706	2.37001E-05	4.625249321	0.095238095	0.006330463	2.198564505
BRD-K65285700_GP 1a_PC3_6.0_h_10.0_um	2	24	21	8706	2.37001E-05	4.625249321	0.095238095	0.006330463	2.198564505
BRD-K68558722_DERACOXIB_HCC515_24.0_h_10.0_um	2	24	21	8706	2.37001E-05	4.625249321	0.095238095	0.006330463	2.198564505
BRD-K73999723_telmisartan_VCAP_6.0_h_10.0_um	2	24	21	8706	2.37001E-05	4.625249321	0.095238095	0.006330463	2.198564505
BRD-K92458042_NCGC00183260-01_VCAP_6.0_h_10.0_um	2	24	21	8706	2.37001E-05	4.625249321	0.095238095	0.006330463	2.198564505
BRD-A45889380_QUINACRINE HYDROCHLORIDE_MCF7_6.0_h_10.0_um	4	151	21	8706	2.38871E-05	4.621836321	0.19047619	0.006330463	2.198564505
BRD-K77390737_X0379_PC3_24.0_h_10.0_um	3	73	21	8706	2.44446E-05	4.611816569	0.142857143	0.00639214	2.194353722
BRD-K43620258_3,5-dichloro-2-hydroxy-N-(2-methoxy-5-phenylphenyl)benzenesulfonamide_MCF7_24.0_h_80.0_um	5	260	21	8706	2.49105E-05	4.60361798	0.238095238	0.00639214	2.194353722
BRD-A13133631_FLUOROMETHOLONE_HCC515_6.0_h_10.0_um	3	74	21	8706	2.5801E-05	4.588363536	0.142857143	0.00639214	2.194353722
BRD-A82096673_KUC103428N_A375_24.0_h_10.0_um	3	74	21	8706	2.5801E-05	4.588363536	0.142857143	0.00639214	2.194353722
BRD-K46137903_Prednicarbate_HCC515_6.0_h_10.0_um	3	74	21	8706	2.5801E-05	4.588363536	0.142857143	0.00639214	2.194353722
BRD-K85606544_HKI-272_A673_6.0_h_10.0_um	3	74	21	8706	2.5801E-05	4.588363536	0.142857143	0.00639214	2.194353722
BRD-K05104363_S1020_A375_6.0_h_10.0_um	2	25	21	8706	2.68902E-05	4.570406014	0.095238095	0.00639214	2.194353722
BRD-K19220233_JNK-9L_HME1_3_h_3.33_um	2	25	21	8706	2.68902E-05	4.570406014	0.095238095	0.00639214	2.194353722
BRD-K19295594_-666_VCAP_24.0_h_11.1_um	2	25	21	8706	2.68902E-05	4.570406014	0.095238095	0.00639214	2.194353722
BRD-K24014699_-666_MCF7_24.0_h_10.0_um	2	25	21	8706	2.68902E-05	4.570406014	0.095238095	0.00639214	2.194353722
BRD-K71879491_tretinoin_PC3_24.0_h_10.0_um	2	25	21	8706	2.68902E-05	4.570406014	0.095238095	0.00639214	2.194353722
BRD-K74155249_-666_VCAP_24.0_h_10.0_um	2	25	21	8706	2.68902E-05	4.570406014	0.095238095	0.00639214	2.194353722
BRD-A12230535_Nutlin-3_HA1E_6.0_h_44.4_um	3	75	21	8706	2.72119E-05	4.565241286	0.142857143	0.00639214	2.194353722
BRD-A30717181_TRIAMCINOLONE DIACETATE_HCC515_6.0_h_10.0_um	3	75	21	8706	2.72119E-05	4.565241286	0.142857143	0.00639214	2.194353722
BRD-A93255169_THALIDOMIDE_HCC515_6.0_h_10.0_um	3	75	21	8706	2.72119E-05	4.565241286	0.142857143	0.00639214	2.194353722
BRD-K64800655_PHA-793887_BT20_24_h_0.37_um	3	76	21	8706	2.86787E-05	4.542440875	0.142857143	0.006671596	2.17577028
BRD-K77681376_2-morpholino-N-((4-nitro-1H-benzo[d]imidazol-2-yl)methyl)-9-(thiophen-3-yl)-9H-purin-6-amine_A375_6.0_h_10.0_um	4	157	21	8706	2.88317E-05	4.540129549	0.19047619	0.006671596	2.17577028
BRD-A28105619_curcubitacin I_OV7_6.0_h_10.0_um	3	77	21	8706	3.02027E-05	4.519953713	0.142857143	0.006770234	2.169396353
BRD-K96076993_-666_HCC515_6.0_h_10.0_um	3	77	21	8706	3.02027E-05	4.519953713	0.142857143	0.006770234	2.169396353
BRD-K00675675_CL 82198 hydrochloride_PC3_6.0_h_10.0_um	2	26	21	8706	3.03505E-05	4.517834514	0.095238095	0.006770234	2.169396353
BRD-K02113016_AZD2281 (KU59436)_VCAP_24.0_h_44.4_um	2	26	21	8706	3.03505E-05	4.517834514	0.095238095	0.006770234	2.169396353
BRD-K64746805_MBCQ_MCF7_24.0_h_10.0_um	2	26	21	8706	3.03505E-05	4.517834514	0.095238095	0.006770234	2.169396353
BRD-K16485616_mocetinostat_PC3_24_h_3.33_um	4	159	21	8706	3.06457E-05	4.513630367	0.19047619	0.006787432	2.168294489
BRD-K49049886_cgs 15943_A549_6.0_h_10.0_um	3	78	21	8706	3.17855E-05	4.497771552	0.142857143	0.006940546	2.158606382
BRD-K72636697_QL-X-138_HS578T_3_h_10_um	3	78	21	8706	3.17855E-05	4.497771552	0.142857143	0.006940546	2.158606382
BRD-K42918627_GSK-2126458_MCF7_24_h_1.11_um	4	161	21	8706	3.25474E-05	4.487483821	0.19047619	0.007003392	2.15469157
BRD-K14232336_K048-0112_PC3_24.0_h_10.0_um	1	4	21	8706	3.31549E-05	4.479451788	0.047619048	0.007003392	2.15469157
BRD-K36927236_glyburide_PC3_6.0_h_10.0_um	1	4	21	8706	3.31549E-05	4.479451788	0.047619048	0.007003392	2.15469157
BRD-A15297126_FLUOCINONIDE_HCC515_6.0_h_10.0_um	3	79	21	8706	3.34282E-05	4.475886465	0.142857143	0.007003392	2.15469157
BRD-K10705233_GW405833 hydrochloride_SKLU1_6.0_h_40.0_um	3	79	21	8706	3.34282E-05	4.475886465	0.142857143	0.007003392	2.15469157
BRD-K42489623_-666_PC3_24.0_h_10.0_um	3	79	21	8706	3.34282E-05	4.475886465	0.142857143	0.007003392	2.15469157
BRD-K00954209_7643453_A375_6.0_h_10.0_um	2	27	21	8706	3.40913E-05	4.467355995	0.095238095	0.00709436	2.149086777
BRD-K68174511_-666_MCF7_6.0_h_10.0_um	4	163	21	8706	3.45397E-05	4.461681097	0.19047619	0.007120058	2.147516444
BRD-A77577770_AC-1121_PC3_24.0_h_10.0_um	3	80	21	8706	3.51325E-05	4.454290831	0.142857143	0.007120058	2.147516444
BRD-K04887706_Akti-1/2_MCF7_6.0_h_9.1_um	3	80	21	8706	3.51325E-05	4.454290831	0.142857143	0.007120058	2.147516444
BRD-K57080016_selumetinib_HEPG2_24_h_3.33_um	3	80	21	8706	3.51325E-05	4.454290831	0.142857143	0.007120058	2.147516444
BRD-K67075780_TGX-115_LOVO_6.0_h_160.0_um	3	81	21	8706	3.68997E-05	4.432977316	0.142857143	0.007381667	2.13184558
BRD-K72636697_QL-X-138_HS578T_24_h_3.33_um	3	81	21	8706	3.68997E-05	4.432977316	0.142857143	0.007381667	2.13184558
BRD-K32896438_-666_MCF7_6.0_h_10.0_um	2	28	21	8706	3.81231E-05	4.418811967	0.095238095	0.007387999	2.131473166
BRD-K76236182_-666_PC3_24.0_h_10.0_um	2	28	21	8706	3.81231E-05	4.418811967	0.095238095	0.007387999	2.131473166
BRD-K84987553_MDM2 Inhibitor_PC3_6.0_h_10.0_um	2	28	21	8706	3.81231E-05	4.418811967	0.095238095	0.007387999	2.131473166
BRD-K99252563_QL-XII-47_HT29_24_h_0.12_um	2	28	21	8706	3.81231E-05	4.418811967	0.095238095	0.007387999	2.131473166
BRD-U44700465_-666_MCF7_6.0_h_10.0_um	2	28	21	8706	3.81231E-05	4.418811967	0.095238095	0.007387999	2.131473166
BRD-K25737009_-666_SKMEL28_6.0_h_40.0_um	3	82	21	8706	3.87312E-05	4.411938864	0.142857143	0.007413161	2.129996556
BRD-K89692698_-666_PL21_6.0_h_160.0_um	3	82	21	8706	3.87312E-05	4.411938864	0.142857143	0.007413161	2.129996556
BRD-K29003210_OSSK_647368_PC3_24.0_h_10.0_um	3	83	21	8706	4.06285E-05	4.391168679	0.142857143	0.007461475	2.127175289
BRD-K69840642_HDAC6 inhibitor ISOX_SKMEL28_6.0_h_10.0_um	3	83	21	8706	4.06285E-05	4.391168679	0.142857143	0.007461475	2.127175289
BRD-K82857306_-666_MCF7_24.0_h_10.0_um	3	83	21	8706	4.06285E-05	4.391168679	0.142857143	0.007461475	2.127175289
BRD-A02481876_Importazole_A549_6.0_h_60.0_um	4	169	21	8706	4.10911E-05	4.386252501	0.19047619	0.007461475	2.127175289
BRD-A06929388_-666_PC3_24.0_h_10.0_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-A45498368_WYE-125132_HS578T_3_h_0.37_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-K30715099_7965184_MCF7_24.0_h_10.0_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-K32164935_TOLAZAMIDE_HA1E_24.0_h_10.0_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-K37720887_SB-525334_PC3_24_h_0.12_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-K56751279_Y-39983_LNCAP_3_h_1.11_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-K87904882_chelerythrine chloride_HCC515_24_h_0.04_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-K89692698_-666_HA1E_6.0_h_160.0_um	2	29	21	8706	4.2456E-05	4.372061303	0.095238095	0.007461475	2.127175289
BRD-K48735772_PD 158780_A375_24.0_h_10.0_um	3	84	21	8706	4.25932E-05	4.370660216	0.142857143	0.007461475	2.127175289
BRD-K56196992_-666_PC3_6.0_h_10.0_um	3	84	21	8706	4.25932E-05	4.370660216	0.142857143	0.007461475	2.127175289
BRD-K86574132_-666_U937_6.0_h_48.0_um	3	84	21	8706	4.25932E-05	4.370660216	0.142857143	0.007461475	2.127175289
BRD-K15716662_-666_MCF7_6.0_h_10.0_um	3	85	21	8706	4.46265E-05	4.350407163	0.142857143	0.007687497	2.114215063
BRD-K30677119_PP-30_MCF7_24.0_h_11.1_um	3	85	21	8706	4.46265E-05	4.350407163	0.142857143	0.007687497	2.114215063
BRD-K39503511_MK-0591_HA1E_6.0_h_80.0_um	3	85	21	8706	4.46265E-05	4.350407163	0.142857143	0.007687497	2.114215063
BRD-K21672174_Ro 28-1675 ?_SKLU1_6.0_h_160.0_um	3	86	21	8706	4.67301E-05	4.330403437	0.142857143	0.007727141	2.111981146
BRD-K21672423_7611062_A375_6.0_h_10.0_um	3	86	21	8706	4.67301E-05	4.330403437	0.142857143	0.007727141	2.111981146
BRD-K62466453_NCGC00182388-01_MCF7_24.0_h_10.0_um	3	86	21	8706	4.67301E-05	4.330403437	0.142857143	0.007727141	2.111981146
BRD-K72451865_-666_MCF7_24.0_h_10.0_um	3	86	21	8706	4.67301E-05	4.330403437	0.142857143	0.007727141	2.111981146
BRD-K49712247_NCGC00167098-01_MCF7_6.0_h_10.0_um	2	30	21	8706	4.71001E-05	4.326977788	0.095238095	0.007727141	2.111981146
BRD-K51276371_-666_MCF7_6.0_h_10.0_um	2	30	21	8706	4.71001E-05	4.326977788	0.095238095	0.007727141	2.111981146
