Perturbation_1	Perturbation_2	#overlap	#sample	#True	#Backgroud	#twoPert	#pert1	#pert2	p-value
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A52530684_DOXORUBICIN_PC3_24.0_h_10.0_um	4	223	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	0.000153402
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A57382968_piroxicam_MCF7_24.0_h_10.0_um	5	206	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	6.58109E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A62326914_paroxetine_VCAP_24.0_h_10.0_um	5	170	21	8706	MYC; PROM1; SOX2; EPAS1; EZH2	MYC; PROM1; SOX2	EPAS1; EZH2; MYC	2.15958E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A68009927_daunorubicin_A549_6.0_h_10.0_um	5	279	21	8706	MYC; PROM1; SOX2; EZH2; KLF4	MYC; PROM1; SOX2	EZH2; KLF4; MYC; PROM1	3.71084E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A68009927_daunorubicin_HA1E_6.0_h_10.0_um	4	192	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	7.55945E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A68009927_daunorubicin_HCC515_6.0_h_10.0_um	6	200	21	8706	MYC; PROM1; SOX2; EZH2; KDM5B; KLF4	MYC; PROM1; SOX2	EZH2; KDM5B; KLF4; MYC; PROM1	2.69094E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A68009927_daunorubicin_HEPG2_6.0_h_10.0_um	4	174	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	4.72555E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A68009927_daunorubicin_MCF7_6.0_h_10.0_um	4	223	21	8706	MYC; PROM1; SOX2; KDM5B	MYC; PROM1; SOX2	KDM5B; MYC; PROM1	0.000153402
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A79465854_auranofin_SNUC4_6.0_h_10.0_um	4	171	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	4.34767E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A80017228_bendrofluazide_VCAP_24.0_h_10.0_um	5	180	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	3.01292E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A85860691_chaetocin_A375_24.0_h_0.08_um	5	299	21	8706	MYC; PROM1; SOX2; CD44; NES	MYC; PROM1; SOX2	CD44; NES; PROM1	5.47469E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A85860691_chaetocin_HCC515_24.0_h_0.08_um	3	234	21	8706	MYC; PROM1; SOX2	MYC; PROM1; SOX2	MYC; PROM1; SOX2	0.002123402
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-A85860691_chaetocin_HT29_24.0_h_0.08_um	4	249	21	8706	MYC; PROM1; SOX2; LGR5	MYC; PROM1; SOX2	LGR5; MYC; PROM1	0.000256943
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K00337317_NU-7441_HCC515_24_h_10_um	5	230	21	8706	MYC; PROM1; SOX2; EZH2; KLF4	MYC; PROM1; SOX2	EZH2; KLF4; MYC	1.2393E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K02113016_AZD2281 (KU59436)_SNGM_6.0_h_44.4_um	5	162	21	8706	MYC; PROM1; SOX2; BMI1; KLF4	MYC; PROM1; SOX2	BMI1; KLF4; MYC	1.62939E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K03449891_foretinib_HCC515_24_h_10_um	5	167	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	1.94634E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K04548931_epirubicin_HA1E_6.0_h_10.0_um	4	183	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	6.01396E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K04548931_epirubicin_MCF7_24.0_h_10.0_um	4	196	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	8.33762E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K06765193_(E)-2-(1H-Benzoimidazol-2-yl)-3-(5-nitro-furan-2-yl)-acrylonitrile BRD-K06765193_VCAP_24.0_h_10.0_um	5	88	21	8706	MYC; PROM1; SOX2; CD44; LGR5	MYC; PROM1; SOX2	CD44; LGR5; MYC	4.31329E-08
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K06765193_5663823_HEPG2_6.0_h_10.0_um	5	150	21	8706	MYC; PROM1; SOX2; BMI1; CTNNB1	MYC; PROM1; SOX2	BMI1; CTNNB1; PROM1	1.03747E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K08109215_I-BET_HCC515_24_h_3.33_um	5	158	21	8706	MYC; PROM1; SOX2; EZH2; KLF4	MYC; PROM1; SOX2	EZH2; KLF4; MYC	1.40745E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K08799216_pelitinib_HCC515_24_h_0.37_um	5	176	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	2.64356E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K08799216_pelitinib_HCC515_24_h_10_um	4	183	21	8706	MYC; PROM1; SOX2; LGR5	MYC; PROM1; SOX2	LGR5; MYC; PROM1	6.01396E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K09951645_dabrafenib_HCC515_24_h_0.37_um	5	107	21	8706	MYC; PROM1; SOX2; EZH2; NES	MYC; PROM1; SOX2	EZH2; NES; PROM1	1.3983E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K11927976_ER 27319 maleate_HA1E_6.0_h_10.0_um	4	255	21	8706	MYC; PROM1; SOX2; KDM5B	MYC; PROM1; SOX2	KDM5B; MYC; PROM1	0.000287018
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K11927976_ER 27319 maleate_HCC515_6.0_h_10.0_um	4	268	21	8706	MYC; PROM1; SOX2; KDM5B	MYC; PROM1; SOX2	KDM5B; MYC; PROM1	0.000361363
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K11927976_ER 27319 maleate_PC3_6.0_h_10.0_um	5	255	21	8706	MYC; PROM1; SOX2; KDM5B; KLF4	MYC; PROM1; SOX2	KDM5B; KLF4; MYC	2.23127E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K12502280_TG101348_HCC515_24.0_h_11.1_um	5	277	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	3.56339E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K12502280_TG101348_HCT116_6.0_h_11.1_um	5	141	21	8706	MYC; PROM1; SOX2; ABCG2; KLF4	MYC; PROM1; SOX2	ABCG2; KLF4; MYC	7.20669E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K12502280_TG101348_SNUC4_6.0_h_11.1_um	4	159	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	3.06457E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K13390322_AT-7519_BT20_3_h_10_um	4	107	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	4.442E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K13390322_AT-7519_HS578T_3_h_0.37_um	4	153	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	2.54552E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K13390322_AT-7519_LNCAP_24_h_3.33_um	4	140	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	1.65574E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K13390322_AT-7519_LNCAP_3_h_3.33_um	5	149	21	8706	MYC; PROM1; SOX2; CD44; KLF4	MYC; PROM1; SOX2	CD44; KLF4; MYC; PROM1	9.97461E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K13390322_AT-7519_MDAMB231_3_h_1.11_um	5	204	21	8706	MYC; PROM1; SOX2; KDM5B; KLF4	MYC; PROM1; SOX2	KDM5B; KLF4; MYC	6.22102E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K13566078_BMS-345541_LNCAP_3_h_10_um	4	97	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	2.73465E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K13662825_dinaciclib_HCC515_24_h_0.12_um	5	166	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; PROM1	1.87922E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K17110974_aristolochic acid_HT29_6.0_h_10.0_um	4	122	21	8706	MYC; PROM1; SOX2; CD44	MYC; PROM1; SOX2	CD44; MYC; PROM1	8.46322E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K17349619_HLI 373_CL34_6.0_h_10.0_um	4	176	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	4.9913E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K17349619_HLI 373_HCT116_6.0_h_10.0_um	4	195	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	8.13753E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K17349619_HLI 373_HT115_6.0_h_10.0_um	4	178	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	5.26852E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K19540840_saracatinib_HCC515_24_h_10_um	5	188	21	8706	MYC; PROM1; SOX2; EZH2; NES	MYC; PROM1; SOX2	EZH2; MYC; NES	3.87855E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K19687926_lapatinib_HCC515_24_h_10_um	5	139	21	8706	MYC; PROM1; SOX2; EZH2; NES	MYC; PROM1; SOX2	EZH2; MYC; NES	6.62405E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K19735876_NCGC00182353-01_MCF7_24.0_h_10.0_um	5	166	21	8706	MYC; PROM1; SOX2; KLF4; LGR5	MYC; PROM1; SOX2	KLF4; LGR5; PROM1	1.87922E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K20526256_HG-14-10-04_HCC515_24_h_10_um	5	172	21	8706	MYC; PROM1; SOX2; EZH2; NES	MYC; PROM1; SOX2	EZH2; MYC; NES; PROM1	2.31208E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K20526256_HG-14-10-04_HCC515_24_h_3.33_um	6	169	21	8706	MYC; PROM1; SOX2; EZH2; KLF4; NES	MYC; PROM1; SOX2	EZH2; KLF4; NES	8.48349E-08
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K25433859_maprotilline hcl_MCF7_24.0_h_10.0_um	5	172	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; PROM1	2.31208E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K26838195_AST1306_HCC515_24_h_0.12_um	6	119	21	8706	MYC; PROM1; SOX2; EZH2; KLF4; TWIST1	MYC; PROM1; SOX2	EZH2; KLF4; PROM1; TWIST1	7.40845E-09
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K31342827_GF-109203X_AGS_6.0_h_12.12_um	5	163	21	8706	MYC; PROM1; SOX2; BMI1; KLF4	MYC; PROM1; SOX2	BMI1; KLF4; MYC	1.68914E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K31342827_GF-109203X_HA1E_24.0_h_12.12_um	4	207	21	8706	MYC; PROM1; SOX2; CD44	MYC; PROM1; SOX2	CD44; MYC; PROM1	0.000107996
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K31912990_CGP 71683 hydrochloride_HCC515_24.0_h_10.0_um	6	311	21	8706	MYC; PROM1; SOX2; BMI1; CD44; EZH2	MYC; PROM1; SOX2	BMI1; CD44; EZH2	5.23967E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K34581968_BMS-536924_HCC515_24.0_h_11.1_um	5	210	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	7.35221E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K34581968_BMS-536924_PL21_6.0_h_11.1_um	5	129	21	8706	MYC; PROM1; SOX2; KLF4; LGR5	MYC; PROM1; SOX2	KLF4; LGR5; MYC	4.25909E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K36363294_I-BET151_HCC515_24_h_0.37_um	5	136	21	8706	MYC; PROM1; SOX2; EZH2; KLF4	MYC; PROM1; SOX2	EZH2; KLF4; MYC	5.82305E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K39484304_triptolide_HA1E_6.0_h_10.0_um	4	191	21	8706	MYC; PROM1; SOX2; KDM5B	MYC; PROM1; SOX2	KDM5B; MYC; PROM1	7.374E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K39484304_triptolide_PC3_24.0_h_10.0_um	5	239	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	1.54315E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K39484304_triptolide_PC3_6.0_h_10.0_um	4	240	21	8706	MYC; PROM1; SOX2; KLF4	MYC; PROM1; SOX2	KLF4; MYC; PROM1	0.000216423
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K43389675_DAUNORUBICIN_HCC515_24.0_h_10.0_um	5	302	21	8706	MYC; PROM1; SOX2; BMI1; EZH2	MYC; PROM1; SOX2	BMI1; EZH2; MYC; PROM1	5.78932E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K43389675_DAUNORUBICIN_HCC515_6.0_h_10.0_um	5	220	21	8706	MYC; PROM1; SOX2; KDM5B; KLF4	MYC; PROM1; SOX2	KDM5B; KLF4; MYC	9.60633E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K43389675_DAUNORUBICIN_HEPG2_6.0_h_10.0_um	4	193	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	7.74848E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K43389675_DAUNORUBICIN_PC3_6.0_h_10.0_um	5	257	21	8706	MYC; PROM1; SOX2; CD44; KLF4	MYC; PROM1; SOX2	CD44; KLF4; MYC; PROM1	2.33241E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K49371609_528116.cdx_HA1E_6.0_h_0.09_um	4	279	21	8706	MYC; PROM1; SOX2; KDM5B	MYC; PROM1; SOX2	KDM5B; MYC; PROM1	0.000435019
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K51290057_Ch 55_HCC515_24.0_h_10.0_um	5	138	21	8706	MYC; PROM1; SOX2; BMI1; TWIST1	MYC; PROM1; SOX2	BMI1; PROM1; TWIST1	6.34758E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K51350053_TOREMIPHENE CITRATE_HA1E_24.0_h_10.0_um	5	101	21	8706	MYC; PROM1; SOX2; CD44; TWIST1	MYC; PROM1; SOX2	CD44; PROM1; TWIST1	9.89365E-08
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K53417444_OTSSP167_HT29_24_h_0.37_um	5	144	21	8706	MYC; PROM1; SOX2; CD44; LGR5	MYC; PROM1; SOX2	CD44; LGR5; MYC	8.15904E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K54233340_Dorsomorphin dihydrochloride_HCC515_6.0_h_10.0_um	5	231	21	8706	MYC; PROM1; SOX2; CD44; NOTCH1	MYC; PROM1; SOX2	CD44; NOTCH1; PROM1	1.27044E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K54233340_Dorsomorphin dihydrochloride_PC3_6.0_h_10.0_um	5	204	21	8706	MYC; PROM1; SOX2; CD44; KLF4	MYC; PROM1; SOX2	CD44; KLF4; PROM1	6.22102E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K55187425_ON-01910_HEPG2_24_h_10_um	6	158	21	8706	MYC; PROM1; SOX2; ABCG2; CD34; LGR5	MYC; PROM1; SOX2	ABCG2; CD34; LGR5	5.33241E-08
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K60038276_irbesartan_MCF7_24.0_h_10.0_um	4	133	21	8706	MYC; PROM1; SOX2; CD44	MYC; PROM1; SOX2	CD44; MYC; PROM1	1.29014E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K67844266_MLN4924_SW948_6.0_h_11.1_um	4	138	21	8706	MYC; PROM1; SOX2; LGR5	MYC; PROM1; SOX2	LGR5; MYC; PROM1	1.54394E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K68336408_Tyrphostin AG 1478_HCC515_24.0_h_56.78_um	5	250	21	8706	MYC; PROM1; SOX2; CD44; EZH2	MYC; PROM1; SOX2	CD44; EZH2; MYC	1.99388E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K68336408_Tyrphostin AG 1478_HT29_24.0_h_56.78_um	6	353	21	8706	MYC; PROM1; SOX2; CD44; EZH2; LGR5	MYC; PROM1; SOX2	CD44; EZH2; LGR5; MYC	1.20661E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K68336408_Tyrphostin AG 1478_NCIH1836_6.0_h_56.78_um	5	131	21	8706	MYC; PROM1; SOX2; ABCG2; NES	MYC; PROM1; SOX2	ABCG2; NES; PROM1; SOX2	4.66557E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K68336408_Tyrphostin AG 1478_U937_6.0_h_56.78_um	5	171	21	8706	MYC; PROM1; SOX2; KLF4; LGR5	MYC; PROM1; SOX2	KLF4; LGR5; MYC; PROM1	2.23477E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K69650333_idarubicin hcl_A549_24.0_h_10.0_um	4	145	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	1.96305E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K70578146_dactinomycin_VCAP_6.0_h_10.0_um	4	142	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	1.77378E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K73395020_ARP 101_HCC515_24.0_h_10.0_um	5	379	21	8706	MYC; PROM1; SOX2; BMI1; EZH2	MYC; PROM1; SOX2	BMI1; EZH2; MYC	0.000203357
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K76401790_JNK-IN-5A_HCC515_24_h_1.11_um	4	112	21	8706	MYC; PROM1; SOX2; CD44	MYC; PROM1; SOX2	CD44; MYC; PROM1	5.56243E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K76694128_DCC-2036_HEPG2_24_h_3.33_um	5	148	21	8706	MYC; PROM1; SOX2; CD44; LGR5	MYC; PROM1; SOX2	CD44; LGR5; PROM1	9.58726E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K79222491_2-morpholino-9-(thiophen-3-yl)-N-((5-(trifluoromethyl)-1H-benzo[d]imidazol-2-yl)methyl)-9H-purin-6-amine_HA1E_6.0_h_10.0_um	4	283	21	8706	MYC; PROM1; SOX2; KDM5B	MYC; PROM1; SOX2	KDM5B; MYC; PROM1	0.00046445
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K79239947_PF 573228_HCC515_24_h_10_um	5	147	21	8706	MYC; PROM1; SOX2; EZH2; NES	MYC; PROM1; SOX2	EZH2; NES; PROM1	9.21233E-07
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K79239947_PF 573228_PC3_24_h_10_um	4	111	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	5.32231E-06
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K80700417_SGI-1776_HCC515_24_h_10_um	6	162	21	8706	MYC; PROM1; SOX2; EZH2; KLF4; NES	MYC; PROM1; SOX2	EZH2; KLF4; NES	6.33747E-08
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K81651477_Parthenolide_HCT116_6.0_h_20.0_um	4	162	21	8706	MYC; PROM1; SOX2; EPAS1	MYC; PROM1; SOX2	EPAS1; MYC; PROM1	3.3532E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K81651477_Parthenolide_SW948_6.0_h_20.0_um	4	166	21	8706	MYC; PROM1; SOX2; LGR5	MYC; PROM1; SOX2	LGR5; MYC; PROM1	3.77048E-05
BRD-A13122391_16-HYDROXYTRIPTOLIDE_A673_6.0_h_0.08_um	BRD-K82216340_medroxyprogesterone 17-acetate_VCAP_24.0_h_10.0_um	4	171	21	8706	MYC; PROM1; SOX2; EZH2	MYC; PROM1; SOX2	EZH2; MYC; PROM1	4.34767E-05
